4Nr	t23	t12	tGF	tSTR	ModelType	Stat	P2P3_dxy.Outlier.Mean	P2P3_dxy.Outlier.SD	P2P3_dxy.Background.Mean	P2P3_dxy.Background.SD	P2P3_dxy.Significant	Outlier.Alternate.PC
0.01	0.6	0.2	NA	1	Ancestral structure	fG	0.0211826	0.0025003	0.0216861	0.0027159	TRUE	90
0.01	0.6	0.2	NA	1	Ancestral structure	fhom	0.0212243	0.0025354	0.0216815	0.0027131	TRUE	90.9
0.01	0.6	0.2	NA	1	Ancestral structure	Simulation	0.0216419	0.0026865	0.0216351	0.0027008	FALSE	NA
0.01	0.6	0.2	NA	1.2	Ancestral structure	D	0.0211681	0.0024787	0.0216813	0.0027122	TRUE	87.8
0.01	0.6	0.2	NA	1.2	Ancestral structure	fd	0.021359	0.0025346	0.0216601	0.0027096	FALSE	96
0.01	0.6	0.2	NA	1.2	Ancestral structure	fG	0.0214075	0.0025519	0.0216547	0.0027083	FALSE	96.9
0.01	0.6	0.2	NA	1.2	Ancestral structure	fhom	0.021424	0.0025651	0.0216529	0.0027071	FALSE	97.2
0.01	0.6	0.2	NA	1.2	Ancestral structure	Simulation	0.0215845	0.0026326	0.0216351	0.0027008	FALSE	NA
0.01	0.6	0.2	NA	1.4	Ancestral structure	D	0.0211774	0.002658	0.021662	0.0027091	TRUE	93.6
0.01	0.6	0.2	NA	1.4	Ancestral structure	fd	0.0213078	0.0027246	0.0216475	0.002704	FALSE	98.5
0.01	0.6	0.2	NA	1.4	Ancestral structure	fG	0.0213212	0.002716	0.021646	0.0027051	FALSE	98.6
0.01	0.6	0.2	NA	1.4	Ancestral structure	fhom	0.0213576	0.0027433	0.021642	0.0027025	FALSE	99.1
0.01	0.6	0.2	NA	1.4	Ancestral structure	Simulation	0.02142	0.002764	0.0216351	0.0027008	FALSE	NA
0.01	0.6	0.2	NA	1.6	Ancestral structure	D	0.021453	0.0026239	0.0216544	0.0027116	FALSE	96.6
0.01	0.6	0.2	NA	1.6	Ancestral structure	fd	0.0215734	0.0026894	0.021641	0.0027052	FALSE	99.4
0.01	0.6	0.2	NA	1.6	Ancestral structure	fG	0.0215765	0.0027016	0.0216406	0.0027038	FALSE	99.6
0.01	0.6	0.2	NA	1.6	Ancestral structure	fhom	0.0215835	0.0026983	0.0216399	0.0027042	FALSE	99.6
0.01	0.6	0.2	NA	1.6	Ancestral structure	Simulation	0.0216267	0.0027291	0.0216351	0.0027008	FALSE	NA
0.01	0.6	0.2	NA	1.8	Ancestral structure	D	0.0214426	0.0026533	0.0216485	0.0027081	FALSE	98
0.01	0.6	0.2	NA	1.8	Ancestral structure	fd	0.0215294	0.0026808	0.0216388	0.0027057	FALSE	99.7
0.01	0.6	0.2	NA	1.8	Ancestral structure	fG	0.0215361	0.0027063	0.0216381	0.0027029	FALSE	99.8
0.01	0.6	0.2	NA	1.8	Ancestral structure	fhom	0.0215493	0.0027035	0.0216366	0.0027033	FALSE	99.9
0.01	0.6	0.2	NA	1.8	Ancestral structure	Simulation	0.0215633	0.0027257	0.0216351	0.0027008	FALSE	NA
0.01	0.6	0.2	NA	2	Ancestral structure	D	0.0215321	0.0027097	0.0216432	0.002703	FALSE	98.6
0.01	0.6	0.2	NA	2	Ancestral structure	fd	0.0215958	0.0027238	0.0216361	0.0027016	FALSE	99.9
0.01	0.6	0.2	NA	2	Ancestral structure	fG	0.0216055	0.002731	0.0216351	0.0027008	FALSE	100
0.01	0.6	0.2	NA	2	Ancestral structure	fhom	0.0216055	0.002731	0.0216351	0.0027008	FALSE	100
0.01	0.6	0.2	NA	2	Ancestral structure	Simulation	0.0216055	0.002731	0.0216351	0.0027008	FALSE	NA
0.01	0.6	0.2	NA	NA	Null model	D	0.0208154	0.0025676	0.0217158	0.0026919	TRUE	NA
0.01	0.6	0.2	NA	NA	Null model	fd	0.0207672	0.0025656	0.0217211	0.0026903	TRUE	NA
0.01	0.6	0.2	NA	NA	Null model	fG	0.0206432	0.0025307	0.0217349	0.0026887	TRUE	NA
0.01	0.6	0.2	NA	NA	Null model	fhom	0.0206774	0.0025116	0.0217311	0.0026922	TRUE	NA
0.01	0.6	0.2	NA	NA	Null model	Simulation	NA	NA	NA	NA	NA	NA
0.01	0.6	0.4	0.2	NA	gene flow P2-P3	D	0.0168152	0.0043003	0.0212857	0.0031633	TRUE	45.6
0.01	0.6	0.4	0.2	NA	gene flow P2-P3	fd	0.0146276	0.003249	0.0215287	0.0028502	TRUE	80.4
0.01	0.6	0.4	0.2	NA	gene flow P2-P3	fG	0.0144419	0.0030705	0.0215494	0.0028213	TRUE	83.5
0.01	0.6	0.4	0.2	NA	gene flow P2-P3	fhom	0.0144986	0.0031155	0.0215431	0.0028316	TRUE	82.5
0.01	0.6	0.4	0.2	NA	gene flow P2-P3	Simulation	0.013731	0.0021291	0.0216284	0.0027051	TRUE	NA
0.01	0.6	0.4	0.2	NA	gene flow P3-P2	D	0.0149739	0.0036577	0.0214946	0.0028792	TRUE	74.1
0.01	0.6	0.4	0.2	NA	gene flow P3-P2	fd	0.0138967	0.002444	0.0216143	0.0027216	TRUE	95.8
0.01	0.6	0.4	0.2	NA	gene flow P3-P2	fG	0.0138294	0.0022914	0.0216217	0.0027151	TRUE	96.4
0.01	0.6	0.4	0.2	NA	gene flow P3-P2	fhom	0.0138382	0.0023059	0.0216208	0.0027165	TRUE	96.5
0.01	0.6	0.4	0.2	NA	gene flow P3-P2	Simulation	0.01377	0.002192	0.0216284	0.0027051	TRUE	NA
0.01	0.6	0.4	NA	0.8	Ancestral structure	D	0.0202539	0.0024429	0.0217597	0.0026873	TRUE	44.1
0.01	0.6	0.4	NA	0.8	Ancestral structure	fd	0.0202721	0.0024021	0.0217577	0.0026925	TRUE	55.8
0.01	0.6	0.4	NA	0.8	Ancestral structure	fG	0.020244	0.0023773	0.0217608	0.0026932	TRUE	59.3
0.01	0.6	0.4	NA	0.8	Ancestral structure	fhom	0.0203066	0.0024067	0.0217539	0.0026941	TRUE	59.7
0.01	0.6	0.4	NA	0.8	Ancestral structure	Simulation	0.0214363	0.0026669	0.0216284	0.0027051	FALSE	NA
0.01	0.6	0.4	NA	1	Ancestral structure	D	0.0206865	0.0024431	0.0217345	0.0027104	TRUE	70.8
0.01	0.6	0.4	NA	1	Ancestral structure	fd	0.0208316	0.0025113	0.0217184	0.0027093	TRUE	80.4
0.01	0.6	0.4	NA	1	Ancestral structure	fG	0.0208336	0.0025352	0.0217182	0.0027069	TRUE	80.9
0.01	0.6	0.4	NA	1	Ancestral structure	fhom	0.0208821	0.0025315	0.0217128	0.002709	TRUE	82
0.01	0.6	0.4	NA	1	Ancestral structure	Simulation	0.0216419	0.0026865	0.0216284	0.0027051	FALSE	NA
0.01	0.6	0.4	NA	1.2	Ancestral structure	D	0.0210565	0.0025272	0.021687	0.002709	TRUE	86.1
0.01	0.6	0.4	NA	1.2	Ancestral structure	fd	0.0211627	0.0025176	0.0216752	0.0027124	TRUE	92.3
0.01	0.6	0.4	NA	1.2	Ancestral structure	fG	0.0211585	0.0025378	0.0216757	0.0027103	TRUE	92.7
0.01	0.6	0.4	NA	1.2	Ancestral structure	fhom	0.0211691	0.0025313	0.0216745	0.0027112	TRUE	93.3
0.01	0.6	0.4	NA	1.2	Ancestral structure	Simulation	0.0215845	0.0026326	0.0216284	0.0027051	FALSE	NA
0.01	0.6	0.4	NA	1.4	Ancestral structure	D	0.0211053	0.0026873	0.0216633	0.0027087	TRUE	92.5
0.01	0.6	0.4	NA	1.4	Ancestral structure	fd	0.0212047	0.0026669	0.0216523	0.002713	TRUE	96.9
0.01	0.6	0.4	NA	1.4	Ancestral structure	fG	0.0211674	0.002687	0.0216564	0.0027101	TRUE	96.6
0.01	0.6	0.4	NA	1.4	Ancestral structure	fhom	0.0212104	0.0026815	0.0216516	0.0027115	TRUE	97.3
0.01	0.6	0.4	NA	1.4	Ancestral structure	Simulation	0.02142	0.002764	0.0216284	0.0027051	FALSE	NA
0.01	0.6	0.4	NA	1.6	Ancestral structure	D	0.0214186	0.0026468	0.0216515	0.0027132	FALSE	96.1
0.01	0.6	0.4	NA	1.6	Ancestral structure	fd	0.0215291	0.0026749	0.0216392	0.0027109	FALSE	98.8
0.01	0.6	0.4	NA	1.6	Ancestral structure	fG	0.0214769	0.0026656	0.021645	0.0027116	FALSE	98.3
0.01	0.6	0.4	NA	1.6	Ancestral structure	fhom	0.021516	0.0026662	0.0216406	0.0027118	FALSE	98.8
0.01	0.6	0.4	NA	1.6	Ancestral structure	Simulation	0.0216267	0.0027291	0.0216284	0.0027051	FALSE	NA
0.01	0.6	0.4	NA	1.8	Ancestral structure	D	0.0214113	0.0026616	0.0216452	0.0027113	FALSE	97.5
0.01	0.6	0.4	NA	1.8	Ancestral structure	fd	0.021496	0.0026814	0.0216358	0.0027097	FALSE	99.4
0.01	0.6	0.4	NA	1.8	Ancestral structure	fG	0.0214773	0.0026705	0.0216379	0.0027108	FALSE	99.1
0.01	0.6	0.4	NA	1.8	Ancestral structure	fhom	0.0214975	0.0026755	0.0216357	0.0027104	FALSE	99.4
0.01	0.6	0.4	NA	1.8	Ancestral structure	Simulation	0.0215633	0.0027257	0.0216284	0.0027051	FALSE	NA
0.01	0.6	0.4	NA	2	Ancestral structure	D	0.0215159	0.002694	0.0216383	0.002709	FALSE	98.4
0.01	0.6	0.4	NA	2	Ancestral structure	fd	0.0215816	0.0027195	0.021631	0.0027064	FALSE	99.8
0.01	0.6	0.4	NA	2	Ancestral structure	fG	0.0215479	0.0027122	0.0216348	0.0027071	FALSE	99.3
0.01	0.6	0.4	NA	2	Ancestral structure	fhom	0.0215637	0.0027133	0.021633	0.002707	FALSE	99.6
0.01	0.6	0.4	NA	2	Ancestral structure	Simulation	0.0216055	0.002731	0.0216284	0.0027051	FALSE	NA
0.01	0.6	0.4	NA	NA	Null model	D	0.0203399	0.0024799	0.0217723	0.0026826	TRUE	NA
0.01	0.6	0.4	NA	NA	Null model	fd	0.0202985	0.0024399	0.0217769	0.0026841	TRUE	NA
0.01	0.6	0.4	NA	NA	Null model	fG	0.0202001	0.0023995	0.0217878	0.0026819	TRUE	NA
0.01	0.6	0.4	NA	NA	Null model	fhom	0.02024	0.0024252	0.0217834	0.0026819	TRUE	NA
0.01	0.6	0.4	NA	NA	Null model	Simulation	NA	NA	NA	NA	NA	NA
0.01	0.8	0.2	NA	1	Ancestral structure	D	0.0245711	0.0026619	0.025605	0.0028728	TRUE	39.2
0.01	0.8	0.2	NA	1	Ancestral structure	fd	0.0247082	0.0025655	0.0255898	0.0028876	TRUE	65.9
0.01	0.8	0.2	NA	1	Ancestral structure	fG	0.0247822	0.002607	0.0255816	0.0028859	TRUE	72.2
0.01	0.8	0.2	NA	1	Ancestral structure	fhom	0.0248153	0.0026058	0.0255779	0.002887	TRUE	72.6
0.01	0.8	0.2	NA	1	Ancestral structure	Simulation	0.0255884	0.0027764	0.025492	0.0028792	FALSE	NA
0.01	0.8	0.2	NA	1.2	Ancestral structure	D	0.0247553	0.0025899	0.025605	0.0028886	TRUE	64.3
0.01	0.8	0.2	NA	1.2	Ancestral structure	fd	0.0253037	0.0026242	0.025544	0.0028967	FALSE	88.1
0.01	0.8	0.2	NA	1.2	Ancestral structure	fG	0.0253997	0.002633	0.0255334	0.0028965	FALSE	91.5
0.01	0.8	0.2	NA	1.2	Ancestral structure	fhom	0.025401	0.0026259	0.0255332	0.0028972	FALSE	91.6
0.01	0.8	0.2	NA	1.2	Ancestral structure	Simulation	0.0257721	0.0027887	0.025492	0.0028792	FALSE	NA
0.01	0.8	0.2	NA	1.4	Ancestral structure	D	0.0248391	0.0027062	0.0255607	0.002885	TRUE	80.8
0.01	0.8	0.2	NA	1.4	Ancestral structure	fd	0.0252943	0.0027508	0.0255101	0.0028885	FALSE	96.8
0.01	0.8	0.2	NA	1.4	Ancestral structure	fG	0.0253264	0.002792	0.0255066	0.0028844	FALSE	97.8
0.01	0.8	0.2	NA	1.4	Ancestral structure	fhom	0.0253428	0.0027939	0.0255047	0.0028843	FALSE	98
0.01	0.8	0.2	NA	1.4	Ancestral structure	Simulation	0.0254574	0.0028445	0.025492	0.0028792	FALSE	NA
0.01	0.8	0.2	NA	1.6	Ancestral structure	D	0.0249051	0.0026355	0.0255455	0.0028909	TRUE	87.3
0.01	0.8	0.2	NA	1.6	Ancestral structure	fd	0.0253052	0.002762	0.025501	0.0028842	FALSE	98.7
0.01	0.8	0.2	NA	1.6	Ancestral structure	fG	0.0253546	0.0027956	0.0254956	0.002881	FALSE	99.5
0.01	0.8	0.2	NA	1.6	Ancestral structure	fhom	0.0253501	0.0027908	0.0254961	0.0028815	FALSE	99.5
0.01	0.8	0.2	NA	1.6	Ancestral structure	Simulation	0.0253868	0.0028132	0.025492	0.0028792	FALSE	NA
0.01	0.8	0.2	NA	1.8	Ancestral structure	D	0.0252538	0.0026906	0.0255243	0.0028805	FALSE	91.7
0.01	0.8	0.2	NA	1.8	Ancestral structure	fd	0.0255236	0.0027137	0.0254944	0.0028794	FALSE	99.6
0.01	0.8	0.2	NA	1.8	Ancestral structure	fG	0.0255294	0.0027115	0.0254937	0.0028796	FALSE	99.7
0.01	0.8	0.2	NA	1.8	Ancestral structure	fhom	0.0255294	0.0027115	0.0254937	0.0028796	FALSE	99.7
0.01	0.8	0.2	NA	1.8	Ancestral structure	Simulation	0.0255451	0.0027147	0.025492	0.0028792	FALSE	NA
0.01	0.8	0.2	NA	2	Ancestral structure	D	0.0250982	0.0026902	0.0255184	0.0028887	TRUE	94.3
0.01	0.8	0.2	NA	2	Ancestral structure	fd	0.0253004	0.0027745	0.0254959	0.0028823	FALSE	99.6
0.01	0.8	0.2	NA	2	Ancestral structure	fG	0.0253081	0.0027749	0.0254951	0.0028823	FALSE	99.7
0.01	0.8	0.2	NA	2	Ancestral structure	fhom	0.0253081	0.0027749	0.0254951	0.0028823	FALSE	99.7
0.01	0.8	0.2	NA	2	Ancestral structure	Simulation	0.0253358	0.002805	0.025492	0.0028792	FALSE	NA
0.01	0.8	0.2	NA	NA	Null model	D	0.0248191	0.0028499	0.0255751	0.0028851	TRUE	NA
0.01	0.8	0.2	NA	NA	Null model	fd	0.0246095	0.0027629	0.0255984	0.0028875	TRUE	NA
0.01	0.8	0.2	NA	NA	Null model	fG	0.0245255	0.0027573	0.0256078	0.0028847	TRUE	NA
0.01	0.8	0.2	NA	NA	Null model	fhom	0.0245603	0.0027436	0.0256039	0.0028876	TRUE	NA
0.01	0.8	0.2	NA	NA	Null model	Simulation	NA	NA	NA	NA	NA	NA
0.01	0.8	0.4	0.2	NA	gene flow P2-P3	D	0.0195623	0.0062175	0.0248077	0.0039108	TRUE	41.3
0.01	0.8	0.4	0.2	NA	gene flow P2-P3	fd	0.0148139	0.0039752	0.0253353	0.0030841	TRUE	87
0.01	0.8	0.4	0.2	NA	gene flow P2-P3	fG	0.014548	0.0035961	0.0253649	0.0030331	TRUE	90.2
0.01	0.8	0.4	0.2	NA	gene flow P2-P3	fhom	0.014607	0.0036888	0.0253583	0.0030441	TRUE	89.2
0.01	0.8	0.4	0.2	NA	gene flow P2-P3	Simulation	0.013731	0.0021291	0.0254557	0.0028436	TRUE	NA
0.01	0.8	0.4	0.2	NA	gene flow P3-P2	D	0.0151613	0.0044523	0.0253046	0.0031172	TRUE	83.3
0.01	0.8	0.4	0.2	NA	gene flow P3-P2	fd	0.0138083	0.0022249	0.0254549	0.0028446	TRUE	99.8
0.01	0.8	0.4	0.2	NA	gene flow P3-P2	fG	0.0138105	0.0022193	0.0254547	0.002846	TRUE	99.7
0.01	0.8	0.4	0.2	NA	gene flow P3-P2	fhom	0.0138109	0.0022204	0.0254546	0.0028462	TRUE	99.7
0.01	0.8	0.4	0.2	NA	gene flow P3-P2	Simulation	0.0138017	0.0022016	0.0254557	0.0028436	TRUE	NA
0.01	0.8	0.4	NA	1	Ancestral structure	D	0.0243809	0.0025447	0.0255898	0.0028422	TRUE	38.7
0.01	0.8	0.4	NA	1	Ancestral structure	fd	0.0245589	0.0025647	0.02557	0.002848	TRUE	59.7
0.01	0.8	0.4	NA	1	Ancestral structure	fG	0.0245298	0.0025559	0.0255733	0.0028477	TRUE	63.7
0.01	0.8	0.4	NA	1	Ancestral structure	fhom	0.0245657	0.0025533	0.0255693	0.0028494	TRUE	63.6
0.01	0.8	0.4	NA	1	Ancestral structure	Simulation	0.0255884	0.0027764	0.0254557	0.0028436	FALSE	NA
0.01	0.8	0.4	NA	1.2	Ancestral structure	D	0.0246358	0.0025437	0.0255819	0.0028551	TRUE	64.5
0.01	0.8	0.4	NA	1.2	Ancestral structure	fd	0.0250709	0.0025849	0.0255336	0.0028629	TRUE	84.4
0.01	0.8	0.4	NA	1.2	Ancestral structure	fG	0.0251301	0.0026271	0.025527	0.0028596	TRUE	86.5
0.01	0.8	0.4	NA	1.2	Ancestral structure	fhom	0.0251707	0.0026286	0.0255225	0.00286	FALSE	87.4
0.01	0.8	0.4	NA	1.2	Ancestral structure	Simulation	0.0257721	0.0027887	0.0254557	0.0028436	FALSE	NA
0.01	0.8	0.4	NA	1.4	Ancestral structure	D	0.024791	0.0027292	0.0255297	0.0028465	TRUE	81.1
0.01	0.8	0.4	NA	1.4	Ancestral structure	fd	0.02515	0.00274	0.0254898	0.0028529	FALSE	95
0.01	0.8	0.4	NA	1.4	Ancestral structure	fG	0.0252132	0.0027824	0.0254828	0.0028491	FALSE	96.1
0.01	0.8	0.4	NA	1.4	Ancestral structure	fhom	0.0252217	0.0027844	0.0254819	0.002849	FALSE	96.4
0.01	0.8	0.4	NA	1.4	Ancestral structure	Simulation	0.0254574	0.0028445	0.0254557	0.0028436	FALSE	NA
0.01	0.8	0.4	NA	1.6	Ancestral structure	D	0.024864	0.0026614	0.0255137	0.0028524	TRUE	87.5
0.01	0.8	0.4	NA	1.6	Ancestral structure	fd	0.0252418	0.0027628	0.0254718	0.0028482	FALSE	98
0.01	0.8	0.4	NA	1.6	Ancestral structure	fG	0.0252455	0.0027746	0.0254713	0.002847	FALSE	98.2
0.01	0.8	0.4	NA	1.6	Ancestral structure	fhom	0.0252672	0.0027892	0.0254689	0.0028456	FALSE	98.4
0.01	0.8	0.4	NA	1.6	Ancestral structure	Simulation	0.0253868	0.0028132	0.0254557	0.0028436	FALSE	NA
0.01	0.8	0.4	NA	1.8	Ancestral structure	D	0.0252354	0.0027099	0.0254901	0.0028431	FALSE	91.8
0.01	0.8	0.4	NA	1.8	Ancestral structure	fd	0.0255096	0.0027151	0.0254596	0.0028436	FALSE	99.5
0.01	0.8	0.4	NA	1.8	Ancestral structure	fG	0.0254892	0.0027258	0.0254619	0.0028425	FALSE	99.3
0.01	0.8	0.4	NA	1.8	Ancestral structure	fhom	0.0255168	0.0027219	0.0254588	0.0028429	FALSE	99.6
0.01	0.8	0.4	NA	1.8	Ancestral structure	Simulation	0.0255451	0.0027147	0.0254557	0.0028436	FALSE	NA
0.01	0.8	0.4	NA	2	Ancestral structure	D	0.0250868	0.0027101	0.0254833	0.0028513	TRUE	95.1
0.01	0.8	0.4	NA	2	Ancestral structure	fd	0.0253131	0.0027834	0.0254582	0.0028458	FALSE	99.8
0.01	0.8	0.4	NA	2	Ancestral structure	fG	0.0252975	0.0027846	0.0254599	0.0028456	FALSE	99.7
0.01	0.8	0.4	NA	2	Ancestral structure	fhom	0.025298	0.0027836	0.0254599	0.0028457	FALSE	99.7
0.01	0.8	0.4	NA	2	Ancestral structure	Simulation	0.0253358	0.002805	0.0254557	0.0028436	FALSE	NA
0.01	0.8	0.4	NA	NA	Null model	D	0.0245887	0.0027818	0.0255663	0.0028399	TRUE	NA
0.01	0.8	0.4	NA	NA	Null model	fd	0.0244856	0.0026386	0.0255777	0.0028508	TRUE	NA
0.01	0.8	0.4	NA	NA	Null model	fG	0.0243852	0.0026197	0.0255889	0.0028483	TRUE	NA
0.01	0.8	0.4	NA	NA	Null model	fhom	0.0244146	0.0025928	0.0255856	0.0028524	TRUE	NA
0.01	0.8	0.4	NA	NA	Null model	Simulation	NA	NA	NA	NA	NA	NA
0.01	0.8	0.6	0.2	NA	gene flow P2-P3	D	0.0163864	0.0054194	0.0252073	0.0033671	TRUE	69.9
0.01	0.8	0.6	0.2	NA	gene flow P2-P3	fd	0.0138846	0.0024991	0.0254853	0.0028683	TRUE	97.5
0.01	0.8	0.6	0.2	NA	gene flow P2-P3	fG	0.0138585	0.0024157	0.0254882	0.0028645	TRUE	98
0.01	0.8	0.6	0.2	NA	gene flow P2-P3	fhom	0.0138683	0.0024385	0.0254871	0.0028667	TRUE	97.8
0.01	0.8	0.6	0.2	NA	gene flow P2-P3	Simulation	0.01377	0.002192	0.025498	0.0028443	TRUE	NA
0.01	0.8	0.6	0.4	NA	gene flow P2-P3	D	0.0211698	0.0044217	0.0251214	0.0033175	TRUE	38.1
0.01	0.8	0.6	0.4	NA	gene flow P2-P3	fd	0.0190909	0.0038617	0.0253524	0.0030267	TRUE	71
0.01	0.8	0.6	0.4	NA	gene flow P2-P3	fG	0.0188615	0.0036938	0.0253779	0.002996	TRUE	73.6
